排名,电影名称,评分,评价人数,简介,封面图片超链接
65,黑客帝国,8.9,456289,视觉革命。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
66,看不见的客人,8.8,671197,你以为你以为的就是你以为的。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
67,西西里的美丽传说,8.8,579254,美丽无罪。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
68,小鞋子,9.2,230121,奔跑的孩子是天使。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg
69,让子弹飞,8.8,978835,你给我翻译翻译，神马叫做TMD的惊喜。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
70,拯救大兵瑞恩,9.0,386171,美利坚精神输出大片No1.,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
71,美国往事,9.2,257730,往事如烟，无处祭奠。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
72,猫鼠游戏,8.9,433815,骗子大师和执著警探的你追我跑故事。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
73,音乐之声,9.0,357697,用音乐化解仇恨，让歌声串起美好。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg
74,致命魔术,8.8,517394,孪生蝙蝠侠大战克隆金刚狼。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
75,七宗罪,8.8,613738,警察抓小偷，老鼠玩死猫。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg
76,低俗小说,8.8,514946,故事的高级讲法。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
77,被嫌弃的松子的一生,8.9,463852,以戏谑来戏谑戏谑。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
78,穿条纹睡衣的男孩,9.1,275571,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
79,沉默的羔羊,8.8,516077,安东尼·霍普金斯的顶级表演。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
80,蝴蝶效应,8.8,569838,人的命运被自己瞬间的抉择改变。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1863330956.jpg
81,春光乍泄,8.9,383697,爱情纠缠，男女一致。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
82,我不是药神,9.0,1244725,对我们国家而言，这样的电影多一部是一部。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
83,勇敢的心,8.9,398905,史诗大片的典范。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg
84,心灵捕手,8.9,419938,人生中应该拥有这样的一段豁然开朗。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
85,天使爱美丽,8.7,678204,法式小清新。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
86,剪刀手爱德华,8.7,699331,浪漫忧郁的成人童话。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
